"uid","num_fatalities","structure_category","rank","num_fishing_spots","tot_score"
442,1,"Diversion Dam",309,1,13.0032362459547
58,1,"Diversion Dam",276,NA,12.0036231884058
160,2,"Diversion Dam",305,NA,12.0032786885246
18,2,"Diversion Dam",689,NA,12.0014513788099
156,4,"Diversion Dam",1014,NA,12.0009861932939
784,3,"Grade Control Structure",48,NA,11.0208333333333
893,2,"Grade Control Structure",935,NA,11.0010695187166
119,NA,"Diversion Dam",130,1,4.00769230769231
121,NA,"Diversion Dam",134,1,4.00746268656716
120,NA,"Diversion Dam",135,1,4.00740740740741
